member_id,name,email,tier,amount,charged_on,result,retried_on,retry_result,note_sent
LL-1034,Jun Oakley,jun.oakley@example.com,Cellar Twelve,169.00,2026-09-20,approved,,,
LL-1035,Kira Bellamy,kira.bellamy@example.com,Cellar Six,89.00,2026-09-20,approved,,,
LL-1036,Lars Ingram,lars.ingram@example.com,Cellar Twelve,169.00,2026-09-20,approved,,,
LL-1037,Mina Penrose,mina.penrose@example.com,Cellar Six,89.00,2026-09-20,approved,,,
LL-1038,Noor Castellan,noor.castellan@example.com,Cellar Six,89.00,2026-09-20,approved,,,
LL-1039,Otto Jessup,otto.jessup@example.com,Cellar Six,89.00,2026-09-20,declined,,,
LL-1040,Pia Quarles,pia.quarles@example.com,Cellar Twelve,169.00,2026-09-20,approved,,,
LL-1041,Quinn Dunmore,quinn.dunmore@example.com,Cellar Six,89.00,2026-09-20,approved,,,
LL-1042,Rafe Kincaid,rafe.kincaid@example.com,Cellar Six,89.00,2026-09-20,approved,,,
LL-1043,Suki Redfern,suki.redfern@example.com,Cellar Twelve,169.00,2026-09-20,approved,,,
LL-1044,Tomas Everly,tomas.everly@example.com,Cellar Six,89.00,2026-09-20,approved,,,
LL-1045,Uma Lockwood,uma.lockwood@example.com,Cellar Six,89.00,2026-09-20,approved,,,
LL-1046,Vito Stroud,vito.stroud@example.com,Sparkling Four,76.00,2026-09-20,approved,,,
LL-1047,Wren Fairbrook,wren.fairbrook@example.com,Cellar Six,89.00,2026-09-20,approved,,,
LL-1048,Yara Merriwether,yara.merriwether@example.com,Cellar Six,89.00,2026-09-20,approved,,,
LL-1049,Ada Thackeray,ada.thackeray@example.com,Cellar Six,89.00,2026-09-20,approved,,,
LL-1050,Bram Galloway,bram.galloway@example.com,Cellar Six,89.00,2026-09-20,approved,,,
LL-1051,Celia Northcott,celia.northcott@example.com,Cellar Six,89.00,2026-09-20,approved,,,
LL-1052,Dev Abernathy,dev.abernathy@example.com,Cellar Six,89.00,2026-09-20,approved,,,
LL-1053,Elin Hollister,elin.hollister@example.com,Sparkling Four,76.00,2026-09-20,approved,,,
LL-1054,Farah Oakley,farah.oakley@example.com,Sparkling Four,76.00,2026-09-20,approved,,,
LL-1055,Gus Bellamy,gus.bellamy@example.com,Cellar Twelve,169.00,2026-09-20,approved,,,
LL-1056,Hana Ingram,hana.ingram@example.com,Cellar Six,89.00,2026-09-20,declined,,,
LL-1057,Ivo Penrose,ivo.penrose@example.com,Cellar Six,89.00,2026-09-20,approved,,,
LL-1058,Jun Castellan,jun.castellan@example.com,Sparkling Four,76.00,2026-09-20,approved,,,
LL-1059,Kira Jessup,kira.jessup@example.com,Cellar Twelve,169.00,2026-09-20,approved,,,
LL-1060,Lars Quarles,lars.quarles@example.com,Sparkling Four,76.00,2026-09-20,approved,,,
LL-1061,Mina Dunmore,mina.dunmore@example.com,Cellar Six,89.00,2026-09-20,approved,,,
LL-1062,Noor Kincaid,noor.kincaid@example.com,Cellar Six,89.00,2026-09-20,declined,,,
LL-1063,Otto Redfern,otto.redfern@example.com,Cellar Six,89.00,2026-09-20,approved,,,
LL-1064,Pia Everly,pia.everly@example.com,Sparkling Four,76.00,2026-09-20,approved,,,
LL-1065,Quinn Lockwood,quinn.lockwood@example.com,Cellar Six,89.00,2026-09-20,approved,,,
LL-1066,Rafe Stroud,rafe.stroud@example.com,Cellar Six,89.00,2026-09-20,approved,,,
LL-1067,Suki Fairbrook,suki.fairbrook@example.com,Cellar Six,89.00,2026-09-20,approved,,,
LL-1068,Tomas Merriwether,tomas.merriwether@example.com,Sparkling Four,76.00,2026-09-20,approved,,,
LL-1069,Uma Thackeray,uma.thackeray@example.com,Cellar Six,89.00,2026-09-20,approved,,,
LL-1070,Vito Galloway,vito.galloway@example.com,Sparkling Four,76.00,2026-09-20,declined,2026-09-20,approved,yes
LL-1071,Wren Northcott,wren.northcott@example.com,Cellar Twelve,169.00,2026-09-20,approved,,,
LL-1072,Yara Abernathy,yara.abernathy@example.com,Cellar Twelve,169.00,2026-09-20,approved,,,
LL-1073,Ada Hollister,ada.hollister@example.com,Cellar Six,89.00,2026-09-20,approved,,,
LL-1074,Bram Oakley,bram.oakley@example.com,Cellar Six,89.00,2026-09-20,approved,,,
LL-1075,Celia Bellamy,celia.bellamy@example.com,Cellar Six,89.00,2026-09-20,approved,,,
LL-1076,Dev Ingram,dev.ingram@example.com,Cellar Six,89.00,2026-09-20,approved,,,
LL-1077,Elin Penrose,elin.penrose@example.com,Cellar Twelve,169.00,2026-09-20,approved,,,
LL-1078,Farah Castellan,farah.castellan@example.com,Sparkling Four,76.00,2026-09-20,approved,,,
LL-1079,Gus Jessup,gus.jessup@example.com,Cellar Twelve,169.00,2026-09-20,approved,,,
LL-1080,Hana Quarles,hana.quarles@example.com,Cellar Six,89.00,2026-09-20,approved,,,
LL-1081,Ivo Dunmore,ivo.dunmore@example.com,Cellar Twelve,169.00,2026-09-20,approved,,,
LL-1082,Jun Kincaid,jun.kincaid@example.com,Cellar Six,89.00,2026-09-20,approved,,,
LL-1083,Kira Redfern,kira.redfern@example.com,Cellar Six,89.00,2026-09-20,approved,,,
LL-1084,Lars Everly,lars.everly@example.com,Cellar Six,89.00,2026-09-20,approved,,,
LL-1085,Mina Lockwood,mina.lockwood@example.com,Sparkling Four,76.00,2026-09-20,approved,,,
LL-1086,Noor Stroud,noor.stroud@example.com,Sparkling Four,76.00,2026-09-20,approved,,,
LL-1087,Otto Fairbrook,otto.fairbrook@example.com,Cellar Six,89.00,2026-09-20,declined,,,
LL-1088,Pia Merriwether,pia.merriwether@example.com,Cellar Twelve,169.00,2026-09-20,approved,,,
LL-1089,Quinn Thackeray,quinn.thackeray@example.com,Cellar Six,89.00,2026-09-20,approved,,,
LL-1090,Rafe Galloway,rafe.galloway@example.com,Cellar Twelve,169.00,2026-09-20,approved,,,
LL-1091,Suki Northcott,suki.northcott@example.com,Cellar Six,89.00,2026-09-20,approved,,,
LL-1092,Tomas Abernathy,tomas.abernathy@example.com,Cellar Six,89.00,2026-09-20,approved,,,
LL-1093,Uma Hollister,uma.hollister@example.com,Sparkling Four,76.00,2026-09-20,approved,,,
LL-1094,Vito Oakley,vito.oakley@example.com,Cellar Six,89.00,2026-09-20,approved,,,
LL-1095,Wren Bellamy,wren.bellamy@example.com,Sparkling Four,76.00,2026-09-20,approved,,,
LL-1096,Yara Ingram,yara.ingram@example.com,Sparkling Four,76.00,2026-09-20,approved,,,
